epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,4274.04,0.52166,0.30768,0.87657,0.99989,0.99838,0.995,0.9119,0.46547,0.24113,0.77502,0.005215,0.005215,0.005215
147,4304.04,0.51655,0.30565,0.87297,0.99987,1,0.995,0.88846,0.50207,0.24506,0.78147,0.005182,0.005182,0.005182
148,4332.57,0.50922,0.30148,0.87256,0.99989,1,0.995,0.90079,0.47393,0.23588,0.7772,0.005149,0.005149,0.005149
149,4361.4,0.50834,0.30068,0.86985,1,0.99981,0.995,0.89681,0.47196,0.2333,0.77694,0.005116,0.005116,0.005116
150,4391.74,0.50946,0.30348,0.87496,0.99961,1,0.995,0.89721,0.49203,0.24192,0.77814,0.005083,0.005083,0.005083
151,4422,0.52375,0.30807,0.8759,0.99988,1,0.995,0.89639,0.46725,0.2382,0.77719,0.00505,0.00505,0.00505
152,4449.73,0.50634,0.30303,0.87623,0.99984,1,0.995,0.91753,0.43806,0.22991,0.77161,0.005017,0.005017,0.005017
153,4480.43,0.51405,0.30416,0.87461,0.99983,1,0.995,0.91162,0.44687,0.2287,0.77238,0.004984,0.004984,0.004984
154,4508.92,0.51791,0.30682,0.87624,0.99987,1,0.995,0.90913,0.47664,0.23101,0.77275,0.004951,0.004951,0.004951
155,4539.91,0.51253,0.30304,0.87633,0.99985,1,0.995,0.90347,0.49941,0.23531,0.77826,0.004918,0.004918,0.004918
156,4567.51,0.51045,0.30205,0.87454,0.99988,1,0.995,0.90299,0.4903,0.23441,0.77788,0.004885,0.004885,0.004885
157,4597.2,0.5032,0.30344,0.87196,0.99983,1,0.995,0.90109,0.48159,0.23341,0.77714,0.004852,0.004852,0.004852
158,4626.9,0.51004,0.29864,0.87214,0.99985,1,0.995,0.91268,0.44707,0.22607,0.77204,0.004819,0.004819,0.004819
159,4654.1,0.493,0.29471,0.86797,0.99987,1,0.995,0.90962,0.4675,0.23008,0.77319,0.004786,0.004786,0.004786
160,4684.52,0.50418,0.29495,0.87328,0.99981,1,0.995,0.90419,0.47518,0.23314,0.77813,0.004753,0.004753,0.004753
161,4713.16,0.51309,0.29902,0.87575,0.99986,1,0.995,0.91098,0.46161,0.23051,0.77266,0.00472,0.00472,0.00472
162,4742.15,0.50586,0.29872,0.87414,0.99983,1,0.995,0.90646,0.47139,0.23045,0.77133,0.004687,0.004687,0.004687
163,4770.74,0.50297,0.29298,0.87335,0.99985,1,0.995,0.89797,0.49828,0.23518,0.77407,0.004654,0.004654,0.004654
164,4801.54,0.49624,0.2972,0.87072,1,0.99983,0.995,0.89998,0.47905,0.23219,0.7715,0.004621,0.004621,0.004621
165,4830.34,0.50962,0.30281,0.8734,1,0.99988,0.995,0.89917,0.49576,0.23339,0.77422,0.004588,0.004588,0.004588
166,4859.75,0.50016,0.29603,0.87,0.99989,1,0.995,0.90445,0.47863,0.22889,0.77472,0.004555,0.004555,0.004555
167,4889.82,0.5004,0.29375,0.8725,0.99984,1,0.995,0.90504,0.47652,0.22688,0.77614,0.004522,0.004522,0.004522
168,4918.3,0.50291,0.29386,0.87075,0.99977,1,0.995,0.90377,0.47105,0.22672,0.77509,0.004489,0.004489,0.004489
169,4946.11,0.4975,0.29237,0.86663,0.99981,1,0.995,0.90113,0.48605,0.23311,0.77484,0.004456,0.004456,0.004456
170,4976.79,0.50132,0.29401,0.8691,1,0.99982,0.995,0.89636,0.49607,0.23282,0.77588,0.004423,0.004423,0.004423
171,5004.33,0.49679,0.29236,0.87133,0.99987,0.99838,0.995,0.8984,0.49742,0.23492,0.77752,0.00439,0.00439,0.00439
172,5034.54,0.49962,0.29015,0.87127,1,0.99982,0.995,0.90262,0.48228,0.2293,0.77632,0.004357,0.004357,0.004357
173,5062.84,0.48934,0.28722,0.86829,1,1,0.995,0.90865,0.46706,0.22413,0.77351,0.004324,0.004324,0.004324
174,5092.42,0.49361,0.28843,0.8704,1,0.99986,0.995,0.91043,0.46362,0.22409,0.77217,0.004291,0.004291,0.004291
175,5120.72,0.49263,0.28772,0.86677,0.99991,1,0.995,0.90958,0.46213,0.22318,0.77004,0.004258,0.004258,0.004258
176,5150.55,0.48799,0.28618,0.86538,1,0.99996,0.995,0.90063,0.48146,0.22367,0.77232,0.004225,0.004225,0.004225
177,5179.94,0.48975,0.28258,0.86842,1,0.99986,0.995,0.89718,0.48555,0.22635,0.77083,0.004192,0.004192,0.004192
178,5208.92,0.49214,0.2851,0.87442,0.99989,0.99838,0.995,0.90324,0.46969,0.22426,0.76852,0.004159,0.004159,0.004159
179,5236.97,0.49336,0.29284,0.86822,1,0.99984,0.995,0.90465,0.4747,0.22484,0.76879,0.004126,0.004126,0.004126
180,5267.86,0.48911,0.28772,0.86927,1,0.99824,0.995,0.91032,0.46024,0.22273,0.76757,0.004093,0.004093,0.004093
181,5297.42,0.49346,0.28545,0.87071,1,0.99958,0.995,0.89897,0.4663,0.22372,0.76722,0.00406,0.00406,0.00406
182,5326.93,0.49071,0.28394,0.86751,0.99984,0.99838,0.995,0.89644,0.47085,0.2272,0.7692,0.004027,0.004027,0.004027
183,5353.8,0.49168,0.28947,0.8691,1,0.99985,0.995,0.89841,0.46951,0.22671,0.76927,0.003994,0.003994,0.003994
184,5382.68,0.48186,0.28192,0.86849,0.99986,0.99838,0.995,0.89922,0.47191,0.22304,0.77058,0.003961,0.003961,0.003961
185,5412.31,0.48635,0.28364,0.87241,1,0.99977,0.995,0.9071,0.46815,0.22542,0.76885,0.003928,0.003928,0.003928
186,5442.54,0.48358,0.2795,0.86624,1,0.9997,0.995,0.90543,0.46149,0.22462,0.769,0.003895,0.003895,0.003895
187,5469.45,0.48458,0.2792,0.86718,1,0.99991,0.995,0.90336,0.47123,0.22484,0.77078,0.003862,0.003862,0.003862
188,5499.13,0.4836,0.28207,0.86853,1,0.99976,0.995,0.89667,0.48106,0.22791,0.77129,0.003829,0.003829,0.003829
189,5529.05,0.48682,0.2778,0.8689,0.99976,1,0.995,0.89231,0.48174,0.22543,0.77247,0.003796,0.003796,0.003796
190,5557.35,0.48604,0.27915,0.86541,0.99982,1,0.995,0.89097,0.48596,0.22689,0.77183,0.003763,0.003763,0.003763
191,5587.68,0.47825,0.28025,0.86369,0.99956,1,0.995,0.89693,0.46972,0.22244,0.76888,0.00373,0.00373,0.00373
